2017/11/21 17:20:29 [error] 4386#0: *220 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET /movie/detail?movieId=2 HTTP/1.1", host: "127.0.0.1"
2017/11/21 17:20:29 [error] 4386#0: *220 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/movie/电影详情页_files/10255.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /movie/%E7%94%B5%E5%BD%B1%E8%AF%A6%E6%83%85%E9%A1%B5_files/10255.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/movie/detail?movieId=2"
2017/11/21 17:20:29 [error] 4386#0: *222 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/movie/电影详情页_files/10490.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /movie/%E7%94%B5%E5%BD%B1%E8%AF%A6%E6%83%85%E9%A1%B5_files/10490.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/movie/detail?movieId=2"
2017/11/21 17:20:29 [error] 4386#0: *223 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/movie/电影详情页_files/10719.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /movie/%E7%94%B5%E5%BD%B1%E8%AF%A6%E6%83%85%E9%A1%B5_files/10719.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/movie/detail?movieId=2"
2017/11/21 17:20:29 [error] 4386#0: *224 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/movie/电影详情页_files/10267.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /movie/%E7%94%B5%E5%BD%B1%E8%AF%A6%E6%83%85%E9%A1%B5_files/10267.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/movie/detail?movieId=2"
2017/11/21 17:20:29 [error] 4386#0: *220 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/img/share/icons_0_16.png" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /img/share/icons_0_16.png?v=91362611.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/css/share_style0_16.css"
2017/11/21 17:20:29 [error] 4386#0: *220 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/movie/电影详情页_files/10255.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /movie/%E7%94%B5%E5%BD%B1%E8%AF%A6%E6%83%85%E9%A1%B5_files/10255.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/movie/detail?movieId=2"
2017/11/21 17:20:29 [error] 4386#0: *223 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/movie/电影详情页_files/10719.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /movie/%E7%94%B5%E5%BD%B1%E8%AF%A6%E6%83%85%E9%A1%B5_files/10719.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/movie/detail?movieId=2"
2017/11/21 17:20:29 [error] 4386#0: *224 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/movie/电影详情页_files/10490.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /movie/%E7%94%B5%E5%BD%B1%E8%AF%A6%E6%83%85%E9%A1%B5_files/10490.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/movie/detail?movieId=2"
2017/11/21 17:20:29 [error] 4386#0: *222 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/movie/电影详情页_files/10267.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /movie/%E7%94%B5%E5%BD%B1%E8%AF%A6%E6%83%85%E9%A1%B5_files/10267.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/movie/detail?movieId=2"
2017/11/21 17:21:06 [error] 4386#0: *220 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET /movie/detail?movieId=2 HTTP/1.1", host: "127.0.0.1"
